metric,status,value,reason,source,observation_basis,post_cutoff_train_leakage,observation_months,sufficient_observation_months,performance_stability,drawdown,turnover,coverage,candidate_promotion,trading_allowed,production_effect,protected_candidate_unchanged
summary,paper_only_observation_mature,paper_only_observation_mature,"Paper-only observation status only; no promotion, order output, broker submission, monthly plan regeneration, or production change.",data/reports/ml_shadow_scoring_report.csv;data/reports/ml_model_v1_validation_report.csv;data/reports/ml_baseline_feature_label_sample.csv,historical_backfill,PASS,101,True,historical_backfill_stable,-0.6520,turnover=0.1700,symbols=5;months=101,False,False,none,True
observation_basis,PASS,historical_backfill,Historical backfill uses existing local feature/label rows only when explicitly requested.,data/reports/ml_baseline_feature_label_sample.csv,historical_backfill,PASS,101,True,historical_backfill_stable,-0.6520,turnover=0.1700,symbols=5;months=101,False,False,none,True
post_cutoff_train_leakage,PASS,False,Backfill excludes rows marked as post-cutoff train leakage and does not train production artifacts.,data/reports/ml_baseline_feature_label_sample.csv,historical_backfill,PASS,101,True,historical_backfill_stable,-0.6520,turnover=0.1700,symbols=5;months=101,False,False,none,True
observation_months,PASS,101,"Observed paper-only months: 2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05. Minimum for maturity: 3.",data/reports/ml_baseline_feature_label_sample.csv,historical_backfill,PASS,101,True,historical_backfill_stable,-0.6520,turnover=0.1700,symbols=5;months=101,False,False,none,True
sufficient_observation_months,PASS,True,Observation evidence is not mature until enough paper-only months are recorded.,data/reports/ml_baseline_feature_label_sample.csv,historical_backfill,PASS,101,True,historical_backfill_stable,-0.6520,turnover=0.1700,symbols=5;months=101,False,False,none,True
performance_stability,PASS,historical_backfill_stable,Performance stability is recorded from the available paper-only observation window without enabling promotion.,data/reports/ml_baseline_feature_label_sample.csv,historical_backfill,PASS,101,True,historical_backfill_stable,-0.6520,turnover=0.1700,symbols=5;months=101,False,False,none,True
drawdown,PASS,-0.6520,Historical backfill selected-return path from existing local feature/label rows.,data/reports/ml_baseline_feature_label_sample.csv,historical_backfill,PASS,101,True,historical_backfill_stable,-0.6520,turnover=0.1700,symbols=5;months=101,False,False,none,True
turnover,PASS,turnover=0.1700,Historical backfill selected-return path from existing local feature/label rows.,data/reports/ml_baseline_feature_label_sample.csv,historical_backfill,PASS,101,True,historical_backfill_stable,-0.6520,turnover=0.1700,symbols=5;months=101,False,False,none,True
coverage,PASS,symbols=5;months=101,Coverage counts safe paper-only symbols and observed months only.,data/reports/ml_baseline_feature_label_sample.csv,historical_backfill,PASS,101,True,historical_backfill_stable,-0.6520,turnover=0.1700,symbols=5;months=101,False,False,none,True
candidate_promotion,PASS,False,No promotion occurs in the observation loop.,safety_guard,historical_backfill,PASS,101,True,historical_backfill_stable,-0.6520,turnover=0.1700,symbols=5;months=101,False,False,none,True
