"packet_id","checkpoint","source_report","checkpoint_status","readiness_or_blocker","training_allowed_now","candidate_promotion","broker_submission","order_execution","production_effect","trading_allowed","final_recommendation","notes"
"mlv2_final_001","CP-01","data/reports/deflated_sharpe_placeholder_report.md","complete_placeholder","Deflated Sharpe fields reserved; not calculated","False","False","False","False","none","False","keep_paper_only_blocked","Data-snooping control placeholders exist but are not selection inputs."
"mlv2_final_002","CP-02","data/reports/purged_embargo_validation_schema_plan.md","complete_schema","Purged/embargo schema defined; not executed","False","False","False","False","none","False","keep_schema_only","Validation schema exists for future use."
"mlv2_final_003","CP-03","data/reports/post_cutoff_oos_proof_inventory.md","complete_inventory","OOS review remains REVIEW_NOT_ALLOWED","False","False","False","False","none","False","keep_observing","No OOS approval evidence for review/promotion/trading."
"mlv2_final_004","CP-04","data/reports/min_history244_pit_universe_safety_review.md","complete_review","min_history244 evidence incomplete","False","False","False","False","none","False","keep_paper_review_only","Protected candidate remains PAPER_REVIEW."
"mlv2_final_005","CP-05","data/reports/formulaic_alpha_candidate_inventory.md","complete_inventory","No formula candidates generated","False","False","False","False","none","False","allow_only_bounded_future_samples","Inventory only."
"mlv2_final_006","CP-06","data/reports/formulaic_alpha_sample_generation.md","complete_sample","Six formula strings generated; no evaluation","False","False","False","False","none","False","audit_before_any_merge","Formula strings only, not features."
"mlv2_final_007","CP-07","data/reports/formulaic_alpha_feature_audit.md","complete_audit_block","Feature audit BLOCK; no materialized feature values","False","False","False","False","none","False","block_merge","PIT, label, missingness, and feature_hash blockers."
"mlv2_final_008","CP-08","data/reports/ml_v2_formulaic_alpha_merge_readiness.md","complete_readiness_block","Merge readiness BLOCK","False","False","False","False","none","False","do_not_merge","No ML v2 formulaic alpha dataset merge."
"mlv2_final_009","CP-09","data/reports/ml_v2_training_readiness_gate.md","complete_gate_block","Training readiness gate BLOCK","False","False","False","False","none","False","do_not_train","No ALLOW_PAPER_ONLY gate."
"mlv2_final_010","CP-10","data/reports/ml_v2_training_report.md","complete_blocked_report","Training blocked and not run","False","False","False","False","none","False","no_model_artifact","No ML v2 model exists."
"mlv2_final_011","CP-11","data/reports/ml_v2_validation_report.md","complete_blocked_report","Validation BLOCK_NO_MODEL","False","False","False","False","none","False","no_validation_claim","No validation metrics produced."
"mlv2_final_012","CP-12","data/reports/ml_v2_cost_concentration_failure_analysis.md","complete_blocked_analysis","Risk analysis BLOCK_NO_MODEL_OUTPUTS","False","False","False","False","none","False","do_not_infer_risk_metrics","No ML v2 positions/trades/weights."
"mlv2_final_013","CP-13","data/reports/ml_v2_shadow_scoring_report.md","complete_blocked_report","Shadow scoring BLOCK_NO_VALIDATED_MODEL","False","False","False","False","none","False","no_shadow_scores","Score rows created=0."
"mlv2_final_014","CP-14","data/reports/ml_v2_hybrid_overlay_design.md","complete_design","Overlays disabled by default; risk overlay only","False","False","False","False","none","False","keep_overlays_default_off","No external fetch or scoring."
"mlv2_final_summary","CP-15","data/reports/ml_v2_final_research_packet.md","complete_final_packet","Final status paper_only_complete_blocked_not_live_ready","False","False","False","False","none","False","do_not_train_or_trade_until_future_gate_allows","Final packet consolidates blockers and paper-only recommendation."
