"packet_id","section","source_reference","status","summary","blocker_or_resolution","final_recommendation","training_allowed_now","candidate_promotion","broker_submission","order_execution","production_effect","trading_allowed","notes"
"post_cp15_001","checkpoint_coverage","docs/ml_v2_quant_hybrid_model_checkpoint.md;data/reports/ml_v2_final_research_packet.md","complete","CP-01 through CP-15 are complete and consolidated in the existing final ML v2 research packet.","CP checkpoints remain paper-only and do not authorize live readiness.","paper_only_complete_blocked_not_live_ready","False","False","False","False","none","False","CP-15 final packet exists; this packet covers post-CP-15 blocker-resolution work."
"post_cp15_002","post_cp15_commits","git log --oneline local","complete","Post-CP15 commits include f982b11, c179c9d, 2c9745d, 9df10f1, 941141a, 28b1a09, e008a1a, c3046cf, 53009d3, and bb7e236.","All post-CP15 commits are report/design/materialization/readiness outputs and no push was performed.","paper_only_complete_blocked_not_live_ready","False","False","False","False","none","False","Commit ids are local evidence only."
"post_cp15_003","feature_coverage","data/reports/formulaic_alpha_broader_materialized_feature_stage1.csv;data/reports/formulaic_alpha_broader_feature_audit_stage1.csv","complete_with_warn","Stage 1 materialized a bounded formulaic feature sample: 7200 rows, 50 symbols, 24 feature dates, and six formula hashes.","Coverage improved but remains bounded sample evidence, not full universe/date merge readiness.","paper_only_complete_blocked_not_live_ready","False","False","False","False","none","False","No new formulas were generated in the post-completion packet."
"post_cp15_004","pit_leakage","data/reports/formulaic_alpha_broader_feature_audit_stage1.md;data/reports/purged_embargo_validation_schema_plan.md","complete_with_warn","Stage 1 audit records PIT and label-isolation mechanics; purged/embargo validation schema exists.","Validation schema remains not executed and does not authorize training.","paper_only_complete_blocked_not_live_ready","False","False","False","False","none","False","No OOS rerun or validation execution was performed."
"post_cp15_005","trial_ledger_and_deflated_sharpe","data/reports/candidate_trial_ledger.md;data/reports/deflated_sharpe_placeholder_report.md","blocked_or_placeholder","Candidate trial ledger exists, raw/effective trial counts remain placeholders where unavailable, and Deflated Sharpe is reserved but not calculated.","Selection claims, formula ranking, and performance claims remain blocked.","paper_only_complete_blocked_not_live_ready","False","False","False","False","none","False","Do not use this packet for model selection."
"post_cp15_006","merge_and_training_gates","data/reports/ml_v2_formulaic_alpha_merge_readiness_stage1_refresh.csv;data/reports/ml_v2_training_readiness_gate_stage1_refresh.csv","blocked","Stage 1 merge readiness is WARN_STAGE1_NOT_FULL_COVERAGE and Stage 1 training readiness remains BLOCK.","ML v2 training remains disallowed.","paper_only_complete_blocked_not_live_ready","False","False","False","False","none","False","No dataset merge for training and no model training were performed."
"post_cp15_007","experiment_gates","data/reports/ml_v2_stage1_paper_experiment_gate.csv;data/reports/ml_v2_stage1_tiny_experiment_protocol.csv;data/reports/ml_v2_stage1_tiny_experiment_execution_gate.csv","blocked","POST-02 allowed protocol design only; POST-03 designed the tiny protocol; POST-04 blocks experiment execution.","Tiny experiment execution is blocked unless future evidence resolves gate blockers.","paper_only_complete_blocked_not_live_ready","False","False","False","False","none","False","No training, evaluation, scoring, or feature selection occurred."
"post_cp15_008","cost_concentration_failure","data/reports/ml_v2_cost_concentration_failure_analysis.md;data/reports/fee_tax_slippage_expectancy_report.md;data/reports/month_symbol_concentration_report.md","complete_report_only","Cost, slippage, concentration, and failure-analysis reports exist as paper-only risk evidence.","Risk evidence does not authorize production or candidate promotion.","paper_only_complete_blocked_not_live_ready","False","False","False","False","none","False","No strategy parameters were changed."
"post_cp15_009","external_overlay","data/reports/ml_v2_hybrid_overlay_design.md;data/reports/ml_v2_external_research_source_inventory.md","complete_design_only","Macro/news/SNS/external inputs are documented as disabled-by-default risk overlays only.","External inputs are not direct-buy alpha and remain disabled until separately approved.","paper_only_complete_blocked_not_live_ready","False","False","False","False","none","False","No network fetch, API call, SNS scrape, or news scrape was performed."
"post_cp15_010","production_safety","data/reports/paper_operation_safety_status_index.md;data/reports/protected_candidate_oos_review_eligibility_guard.md","blocked_safety_retained","Production remains BLOCK, protected candidate remains PAPER_REVIEW, OOS review remains not allowed, and trading authorization remains false.","No production readiness change is allowed.","paper_only_complete_blocked_not_live_ready","False","False","False","False","none","False","This is final paper-only blocked-not-live-ready status."
"post_cp15_summary","final_recommendation","multiple","complete","All safe local post-CP15 report/design/readiness loops identified in the roadmap are complete, blocked, or deferred without forbidden actions.","Final status is paper-only complete but blocked and not live-ready.","paper_only_complete_blocked_not_live_ready","False","False","False","False","none","False","Stop unless the user explicitly authorizes a new research goal."
