date,open,high,low,close,volume
2026-01-02,10000,10200,9900,10100,100000
2026-01-03,10100,10350,10050,10300,120000
2026-01-04,10300,10600,10200,10550,180000
2026-01-05,10550,10900,10450,10800,220000
2026-01-06,10800,11200,10700,11150,260000
2026-01-07,11150,11300,10850,10900,210000
2026-01-08,10900,11500,10800,11400,300000
2026-01-09,11400,11800,11300,11750,340000
2026-01-10,11750,11900,11500,11600,240000
2026-01-11,11600,12150,11550,12050,360000
2026-01-12,12050,12400,11900,12300,410000
2026-01-13,12300,12600,12100,12200,250000
2026-01-14,12200,12750,12150,12650,430000
2026-01-15,12650,13100,12550,13000,480000
2026-01-16,13000,13400,12900,13350,520000
