diagnostic_id,diagnostic_group,diagnostic_item,source_reference,observed_value,diagnostic_status,diagnostic_result,winner_declared,model_selection_allowed,formula_selection_allowed,hyperparameter_tuning_allowed,candidate_decision_allowed,candidate_promotion,broker_submission,order_execution,trading_allowed,production_effect,robustness_diagnostic_performed_now,model_training_performed_now,validation_rerun_performed_now,oos_rerun_performed_now,candidate_comparison_rerun_performed_now,notes
bounded_robust_001,approval_gate,post28_approval,data\reports\ml_v2_fixed_spec_robustness_approval_gate.csv,ALLOW_ONE_BOUNDED_PAPER_ROBUSTNESS_RUN,PASS,diagnostic_allowed,False,False,False,False,False,False,False,False,False,none,True,False,False,False,False,Local gate allows exactly one bounded paper-only diagnostic; this report consumes that next diagnostic slot.
bounded_robust_002,source_integrity,local_sources_readable,data\reports\formulaic_alpha_broader_materialized_feature_stage1.csv;data\reports\ml_baseline_feature_label_sample.csv;data\reports\ml_v2_fixed_spec_pre_registered_robustness_execution_packet.csv,all_sources_readable,PASS,sources_available,False,False,False,False,False,False,False,False,False,none,True,False,False,False,False,"No data fetch, API call, news/SNS scrape, OOS rerun, or candidate comparison rerun was performed."
bounded_robust_003,coverage,joined_sample_coverage,data\reports\formulaic_alpha_broader_materialized_feature_stage1.csv;data\reports\ml_baseline_feature_label_sample.csv,joined_rows=98;symbols=5;date_groups=23;train_rows=74;validation_rows=20;embargo_groups=1,PASS,coverage_reported_no_threshold_selection,False,False,False,False,False,False,False,False,False,none,True,False,False,False,False,Coverage is reported for interpretation only; no threshold is tuned or selected.
bounded_robust_004,feature_lock,six_formula_hash_lock,data\reports\formulaic_alpha_broader_materialized_feature_stage1.csv,formula_hash_count=6;formula_hashes=237ac7d0c28d86c6;5b15756d0fbddc1e;b169813beaaf19fc;e2bd30a293a37ee7;ead367ea93980a3e;fc64e48de1dacd70;missing_feature_values=0,PASS,fixed_feature_lock_reported,False,False,False,False,False,False,False,False,False,none,True,False,False,False,False,"All six formula hashes are used together for diagnostics; no formula ranking, dropping, adding, or mutation occurred."
bounded_robust_005,split_manifest,chronological_holdout_fixed_v1,derived,train_date_groups=17;validation_date_groups=5;embargo_date_groups=2025-12-30;validation_dates=2026-01-30;2026-02-27;2026-03-31;2026-04-30;2026-05-29,PASS,split_reported_no_selection,False,False,False,False,False,False,False,False,False,none,True,False,False,False,False,Pre-existing chronological split is reported; no split is selected as best.
bounded_robust_006,split_manifest,rolling_origin_fixed_v1,derived,validation_dates=2026-03-31;2026-04-30;2026-05-29;rows=12;positive=4;negative=8;min_class_count=4;min_class_share=0.3333,WARN,split_reported_no_selection,False,False,False,False,False,False,False,False,False,none,True,False,False,False,False,Rolling-origin diagnostic reports label balance only; no model is trained or validated.
bounded_robust_007,split_manifest,blocked_time_fold_fixed_v1,derived,validation_dates=2024-07-31;2024-10-31;2025-01-31;2025-04-30;2025-07-31;2025-10-31;2026-01-30;2026-04-30;rows=34;positive=16;negative=18;min_class_count=16;min_class_share=0.4706,PASS,split_reported_no_selection,False,False,False,False,False,False,False,False,False,none,True,False,False,False,False,Blocked-time diagnostic reports label balance only; no model is trained or validated.
bounded_robust_008,label_balance,train_and_validation_label_balance,data\reports\ml_baseline_feature_label_sample.csv,train=positive=31;negative=43;min_class_count=31;min_class_share=0.4189;validation=positive=8;negative=12;min_class_count=8;min_class_share=0.4000,WARN,label_warning_reported,False,False,False,False,False,False,False,False,False,none,True,False,False,False,False,Validation has small positive class count if below the pre-registered warning threshold; no class-weight or threshold tuning occurred.
bounded_robust_009,pit_embargo,joined_row_pit_embargo_reaudit,data\reports\formulaic_alpha_broader_materialized_feature_stage1.csv;data\reports\ml_baseline_feature_label_sample.csv,joined_keys=98;pit_failures=0;post_cutoff_label_failures=0;bad_feature_safety_flags=0;cutoff=2026-06-18,PASS,pit_embargo_reported,False,False,False,False,False,False,False,False,False,none,True,False,False,False,False,Joined rows retain local PIT and cutoff safety checks; this is not an OOS rerun.
bounded_robust_010,interpretation,no_winner_all_results_rule,derived,winner_declared=False;candidate_decision_allowed=False;all_split_rows_reported=True,PASS,no_winner_no_candidate_decision,False,False,False,False,False,False,False,False,False,none,True,False,False,False,False,"All diagnostics are reported without model winner, candidate decision, promotion, or production effect."
bounded_robust_011,safety,paper_only_disabled_state,docs/GOAL_MODE_CHECKPOINT.md,production=BLOCK;protected_candidate=PAPER_REVIEW;trading_allowed=False;production_effect=none,PASS,safety_preserved,False,False,False,False,False,False,False,False,False,none,True,False,False,False,False,"No broker submission, order execution, monthly plan regeneration, protected candidate change, or production readiness change occurred."
