section,status,key_value,manual_action_required,trading_allowed,reason,source_report
review_date,REVIEW_ONLY,review_date=2026-06-29;plan_as_of_date=2026-06-18,True,False,"Human review packet only; it does not authorize trading.",data/reports/monthly_paper_order_plan_review_audit.csv
production_readiness,BLOCK,default_gaps=8;protected_overlay_gaps=4;health_warn_gaps=1;can_be_cleared_now=0,True,False,"Production readiness and evidence gaps remain hard stops; all evidence-gap rows have can_be_cleared_now=False.",data/reports/production_readiness_evidence_gap_plan.csv
protected_candidate,PAPER_REVIEW,candidate=proxy_guard_exit_short_minus5_neutral_loss_guard55_min_history244;promotion_allowed=False;protected_from_tuning=True,True,False,"Protected candidate remains paper review only and must not be promoted or tuned from this packet.",data/reports/monthly_candidate_research_trial_summary.csv
oos_observation,OBSERVE,review_allowed=False;observed_days=0;required_days=15;remaining_days=15;latest_excess_return_pct=-1.8408;trade_count=12,True,False,"OOS observation review is not allowed yet and OOS was not rerun.",data/reports/post_cutoff_oos_observation_status_neutral_loss_guard55_min_history244.csv
monthly_order_plan,BLOCKED_REVIEW_ONLY,rows=5;blocked_rows=5;actionable_rows=0;cost_fields=True;slippage_fields=True;liquidity_fields=True,True,False,"Existing monthly plan rows are blocked/review-only with zero actionable rows.",data/reports/monthly_paper_order_plan_review_audit.csv
health_check,WARN,monthly_universe_price_coverage_inputs=PASS;scalper_data=WARN,True,False,"Health warning is stale scalper data only; it is non-critical for monthly paper review but blocks future scalper work.",data/reports/health_warn_classification.csv
candidate_trials,REVIEW_ONLY,total_candidates_tested=5;paper_review=1;paper_diagnostic=3;rejected=1;promoted=0,True,False,"Candidate trial evidence is diagnostic/review only and records zero promoted candidates.",data/reports/monthly_candidate_research_trial_summary.csv
rejected_diagnostic,REJECTED_DIAGNOSTIC,candidate=252safe_recovery_rank_timing_v0;recommendation=reject_candidate,True,False,"Rejected because required failures rose and drawdown/stress fragility worsened; keep as diagnostic evidence only.",data/reports/monthly_candidate_research_trial_summary.csv
manual_reviewer_checklist,REQUIRED,confirm_BLOCK;confirm_zero_actionable_rows;confirm_review_allowed_false;confirm_no_executor;confirm_no_candidate_change,True,False,"Manual reviewer must treat the packet as a hard-stop review artifact only.",data/reports/monthly_paper_order_plan_review_checklist.md
do_not_trade,HARD_STOP,trading_allowed=False;production_effect=none;live_orders_allowed=False,True,False,"Do not place orders; do not call Toss API; do not enable production trading; do not treat any row as actionable.",data/reports/monthly_paper_order_plan_review_checklist.md
safe_next_action,REVIEW_ONLY,next=review_packet_against_current_reports_after_new_local_evidence,True,False,"Safe next action is human review and future local evidence refresh only; no trading or OOS rerun is authorized.",data/reports/monthly_paper_operation_review_packet.md
