metric,status,value,reason,source,post_cutoff_data_used_for_train,external_features_used,formula_selection_used,model_selection_used,hyperparameter_sweep_used,candidate_creation,candidate_promotion,broker_submission,order_execution,trading_allowed,production_effect,protected_candidate_unchanged
summary,paper_only_ml_v2_fixed_spec_trained,paper_only_ml_v2_fixed_spec_trained,"One fixed-spec ML v2 paper-only model was trained; no selection, tuning, candidate, broker, order, or production work occurred.",derived,False,False,False,False,False,False,False,False,False,False,none,True
source_files_present,PASS,all required local sources readable,Uses existing local reports only.,data/reports/formulaic_alpha_broader_materialized_feature_stage1.csv;data/reports/ml_baseline_feature_label_sample.csv;data/reports/ml_v2_fixed_spec_training_readiness_gate.csv,False,False,False,False,False,False,False,False,False,False,none,True
readiness_gate,PASS,ALLOW_PAPER_ONLY_TRAINING,Training requires the POST-21 fixed-spec readiness gate.,data/reports/ml_v2_fixed_spec_training_readiness_gate.csv,False,False,False,False,False,False,False,False,False,False,none,True
model_type,PASS,logistic_regression_sgd_fixed_v2,Single fixed model type; no model comparison.,data/reports/ml_v2_fixed_spec_training_protocol.csv,False,False,False,False,False,False,False,False,False,False,none,True
fixed_feature_set,PASS,formula_hash_count=6,Uses the fixed Stage 1 formulaic OHLCV feature set only.,data/reports/formulaic_alpha_broader_materialized_feature_stage1.csv,False,False,False,False,False,False,False,False,False,False,none,True
joined_row_count,PASS,98,Rows joined by symbol and feature_date from local labels only.,data/reports/formulaic_alpha_broader_materialized_feature_stage1.csv;data/reports/ml_baseline_feature_label_sample.csv,False,False,False,False,False,False,False,False,False,False,none,True
train_row_count,PASS,74,Chronological training split before validation and embargo date groups.,derived,False,False,False,False,False,False,False,False,False,False,none,True
validation_row_count,PASS,20,Chronological validation split; not an OOS rerun.,derived,False,False,False,False,False,False,False,False,False,False,none,True
embargo_date_groups,PASS,2025-12-30,One date group before validation is excluded from training.,derived,False,False,False,False,False,False,False,False,False,False,none,True
label_distribution_train,PASS,positive=31;negative=43,Binary positive/negative labels from existing local baseline label file.,data/reports/ml_baseline_feature_label_sample.csv,False,False,False,False,False,False,False,False,False,False,none,True
train_accuracy,PASS,0.6486,In-sample diagnostic only; not a production or candidate-selection claim.,derived,False,False,False,False,False,False,False,False,False,False,none,True
model_artifact_written,PASS,False,The trained weights are not written as a model artifact.,derived,False,False,False,False,False,False,False,False,False,False,none,True
candidate_creation,PASS,False,This run creates no candidate_id.,derived,False,False,False,False,False,False,False,False,False,False,none,True
trading_allowed,PASS,False,Paper-only research report.,derived,False,False,False,False,False,False,False,False,False,False,none,True
production_effect,PASS,none,No production effect.,derived,False,False,False,False,False,False,False,False,False,False,none,True
