section,status,value,summary,source,trading_allowed,production_effect,candidate_promotion,broker_submission,order_execution,production_readiness_change,production_block_retained,protected_candidate_unchanged
model_completion_status,PASS,paper_only_complete_not_live_ready,Do Not Trade / Research Packet Only. Final packet consolidates Phase 1-13 local artifacts without live readiness.,data/reports/ml_baseline_feature_label_dataset_audit.csv;data/reports/ml_baseline_model_training_report.csv;data/reports/ml_baseline_validation_report.csv;data/reports/ml_feature_importance_report.csv;data/reports/ml_failure_analysis_report.csv;data/reports/ml_financial_feature_merge_audit.csv;data/reports/ml_news_event_schema_plan.csv;data/reports/ml_sentiment_scoring_plan.csv;data/reports/ml_external_feature_readiness_reaudit.csv;data/reports/ml_model_v1_training_report.csv;data/reports/ml_model_v1_validation_report.csv;data/reports/ml_shadow_scoring_report.csv;data/reports/ml_model_observation_status.csv;data/reports/paper_operation_safety_status_index.csv,False,none,False,False,False,False,True,True
data_lineage,PASS,train_cutoff=2026-06-18;local_reports_only,Baseline lineage uses existing local PIT feature/label rows and report artifacts only; no fetch/API/OOS rerun/candidate compare.,data/reports/ml_baseline_feature_label_dataset_audit.csv,False,none,False,False,False,False,True,True
baseline_feature_label_dataset,PASS,rows=69915;features=return_1m;return_3m;return_6m;volatility_3m;volume_change_1m;price_vs_3m_sma;drawdown_3m,Baseline dataset audit status: ready_for_training_scaffold.,data/reports/ml_baseline_feature_label_dataset_audit.csv,False,none,False,False,False,False,True,True
baseline_model_training,PASS,logistic_regression_sgd,Baseline training status: paper_only_baseline_trained; artifact remains disconnected from production.,data/reports/ml_baseline_model_training_report.csv,False,none,False,False,False,False,True,True
validation_results,PASS,paper_only_validation_complete;drawdown=-0.5687,"Validation results are summarized for research only, with no OOS rerun or protected candidate change.",data/reports/ml_baseline_validation_report.csv,False,none,False,False,False,False,True,True
feature_importance_failure_analysis,WARN,top_features=price_vs_3m_sma;return_3m;drawdown_3m;failure_rows=232,Feature importance and failure cases are recorded; failure analysis keeps overfit risk visible.,data/reports/ml_feature_importance_report.csv;data/reports/ml_failure_analysis_report.csv,False,none,False,False,False,False,True,True
opendart_financial_features,WARN,not_ready,OpenDART financial features remain limited PIT sample / merge-audit evidence only unless a source explicitly says ready.,data/reports/ml_financial_feature_merge_audit.csv,False,none,False,False,False,False,True,True
news_schema,WARN,not_ready,News is schema/plan-only unless a source explicitly says ready; no news fetch was called.,data/reports/ml_news_event_schema_plan.csv,False,none,False,False,False,False,True,True
sentiment_schema,WARN,not_ready,"Sentiment remains rule/lexicon plan-only, with FinBERT/LLM/SNS kept later-stage unless explicitly ready.",data/reports/ml_sentiment_scoring_plan.csv,False,none,False,False,False,False,True,True
external_feature_readiness,BLOCK,not_ready,External readiness status: BLOCK; external features are not training-ready unless explicitly ready.,data/reports/ml_external_feature_readiness_reaudit.csv,False,none,False,False,False,False,True,True
model_v1_technical_only,PASS,paper_only_model_v1_trained;validation=paper_only_model_v1_validated;features=technical_only,Model v1 is a technical-only paper experiment because external features are not ready.,data/reports/ml_model_v1_training_report.csv;data/reports/ml_model_v1_validation_report.csv,False,none,False,False,False,False,True,True
shadow_scoring,PASS,rows=4,"Shadow scoring is human-readable only: no order output, broker submission, monthly plan regeneration, or promotion.",data/reports/ml_shadow_scoring_report.csv,False,none,False,False,False,False,True,True
observation_status,PASS,paper_only_observation_mature;basis=historical_backfill;months=101,Observation status is mature on paper-only evidence and does not imply live readiness.,data/reports/ml_model_observation_status.csv,False,none,False,False,False,False,True,True
leakage_checks,PASS,post_cutoff_train_leakage=PASS;post_cutoff_data_used_for_train=False,"Dataset, training, validation, model v1, and observation artifacts indicate no post-cutoff train leakage.",data/reports/ml_baseline_feature_label_dataset_audit.csv;data/reports/ml_baseline_model_training_report.csv;data/reports/ml_baseline_validation_report.csv;data/reports/ml_feature_importance_report.csv;data/reports/ml_failure_analysis_report.csv;data/reports/ml_financial_feature_merge_audit.csv;data/reports/ml_news_event_schema_plan.csv;data/reports/ml_sentiment_scoring_plan.csv;data/reports/ml_external_feature_readiness_reaudit.csv;data/reports/ml_model_v1_training_report.csv;data/reports/ml_model_v1_validation_report.csv;data/reports/ml_shadow_scoring_report.csv;data/reports/ml_model_observation_status.csv;data/reports/paper_operation_safety_status_index.csv,False,none,False,False,False,False,True,True
overfit_data_snooping_risk,WARN,risk_retained,Technical-only model evidence is research-useful but remains exposed to overfit/data-snooping risk; no tuning or promotion is authorized.,data/reports/ml_failure_analysis_report.csv;data/reports/ml_model_v1_validation_report.csv,False,none,False,False,False,False,True,True
final_recommendation,BLOCK,keep_paper_only_do_not_trade,"Final recommendation: paper-only complete, not live-ready; keep production BLOCK, protected candidate unchanged, and do not trade.",safety_guard,False,none,False,False,False,False,True,True
