"proof_id","proof_group","source_report","source_exists","evidence_fields","observed_status","review_status","missing_fields","post_cutoff_scope","oos_rerun_performed","data_fetch_performed","candidate_comparison_rerun","protected_candidate_change","candidate_promotion","production_effect","trading_allowed","notes"
"oos_proof_001","protected_candidate_oos_guard","data/reports/protected_candidate_oos_review_eligibility_guard.csv;data/reports/protected_candidate_oos_review_eligibility_guard.md","True","review_eligibility;review_allowed;observed_days;required_days;remaining_days;trading_allowed;production_effect","REVIEW_NOT_ALLOWED","not_review_eligible","complete_post_cutoff_observation_window;approved_review_window","protected_candidate_post_cutoff_guard","False","False","False","False","False","none","False","Guard says review is not allowed; observed=0 and required=15 in local summary."
"oos_proof_002","paper_operation_safety_index","data/reports/paper_operation_safety_status_index.csv;data/reports/paper_operation_safety_status_index.md","True","overall_status;review_allowed;production_effect;recommended_action;actionable_rows;promoted_candidates","OBSERVE","not_review_eligible","approved_live_readiness;trading_authorization","paper_operation_status","False","False","False","False","False","none","False","Safety status recommends keep_observing_no_tuning_no_promotion."
"oos_proof_003","monthly_review_packet","data/reports/monthly_paper_operation_review_packet.csv","True","packet_status;review_allowed;observed_days;required_days;actionable_rows;protected_candidate","BLOCK","not_review_eligible","full_packet_markdown_summary_if_needed","monthly_paper_review","False","False","False","False","False","none","False","Referenced by safety index; all order rows remain blocked."
"oos_proof_004","post_cutoff_observation_status","data/reports/post_cutoff_oos_observation_status_neutral_loss_guard55_min_history244.csv","True","review_allowed;observed_trading_days;required_trading_days;remaining_trading_days","review_allowed_false","not_review_eligible","approved_oos_review_result","protected_candidate_post_cutoff_observation","False","False","False","False","False","none","False","Existing guard references this source; this inventory does not open raw rows beyond existing summary context."
"oos_proof_005","production_block_classification","data/reports/production_block_classification.csv","True","production/readiness/risk BLOCK rows","BLOCK","production_block_retained","not_available","production_readiness","False","False","False","False","False","none","False","Production BLOCK is retained and is not changed by this checkpoint."
"oos_proof_006","ml_baseline_dataset_audit","data/reports/ml_baseline_feature_label_dataset_audit.md","True","train_cutoff;post_cutoff_data_used_for_train;training_ran;production_effect","post_cutoff_train_leakage_PASS","paper_only_context","actual_oos_performance_proof","ml_baseline_pre_cutoff_dataset","False","False","False","False","False","none","False","Useful for cutoff evidence, not a post-cutoff OOS performance proof."
"oos_proof_007","ml_baseline_validation","data/reports/ml_baseline_validation_report.md","True","train_cutoff;post_cutoff_data_used_for_validation;oos_rerun;leakage_check","paper_only_validation_complete","validation_only_not_oos","post_cutoff_oos_result","ml_baseline_pre_cutoff_validation","False","False","False","False","False","none","False","Pre-cutoff validation evidence only; does not satisfy protected candidate OOS review."
"oos_proof_008","ml_v1_validation","data/reports/ml_model_v1_validation_report.csv","True","validation status;leakage fields if present","paper_only_ml_v1_context","validation_only_not_oos","human_reviewed_summary_for_ml_v2_oos_proof","ml_v1_validation","False","False","False","False","False","none","False","Existing local ML v1 validation may inform future ML v2 readiness but is not a live/OOS approval."
"oos_proof_009","ml_observation_status","data/reports/ml_model_observation_status.md","True","observation_months;observation_basis;post_cutoff_train_leakage;candidate_promotion;trading_allowed","paper_only_observation_mature","shadow_observation_only","live_oos_authorization;broker_readiness","ml_shadow_observation","False","False","False","False","False","none","False","Historical backfill/shadow observation does not authorize trading or candidate promotion."
"oos_proof_010","candidate_trial_ledger","data/reports/candidate_trial_ledger.md","True","known trial/report families;raw_trial_count placeholders;effective_trial_count placeholders","bootstrap_ledger_available","trial_inventory_only","complete effective_trial_count;approved oos proof linkage","trial_count_context","False","False","False","False","False","none","False","Supports data-snooping controls but does not create OOS evidence."
"oos_proof_011","cp01_deflated_sharpe_placeholder","data/reports/deflated_sharpe_placeholder_report.md","True","raw_sharpe placeholder;skew placeholder;kurtosis placeholder;sample_length placeholder;trial counts placeholders","placeholder_only","not_oos_proof","all adjusted score inputs","data_snooping_placeholder","False","False","False","False","False","none","False","Not usable for model selection or OOS proof."
"oos_proof_012","cp02_purged_embargo_schema","data/reports/purged_embargo_validation_schema_plan.md","True","label horizon;purge window;embargo window;post-cutoff exclusions","schema_only","not_oos_proof","actual validation run;actual OOS result","validation_schema_context","False","False","False","False","False","none","False","Defines future validation controls only."
