"decision_id","dependency_group_id","method_family","candidate_id","formula_hash","model_hash","scenario_set","member_trial_count","member_trial_ids","previous_manual_lineage_status","recommended_decision","decision_reason","effective_count_treatment","selection_trial_allowed","effective_trial_count_allowed_now","deflated_sharpe_allowed_now","training_allowed_now","validation_allowed_now","performance_metric_computed","formula_evaluation_performed","candidate_creation","candidate_promotion","broker_submission","order_execution","production_effect","trading_allowed","notes"
"recommended_lineage_decision_001","dep_group_001","cross_sectional_ml","ml_model_v1_paper_only","not_available","not_available","baseline","2","trial_ml_v1_training_validation_family;trial_ml_vs_original_comparison","manual_review_required","same_dependency_family","ML v1 reports share one paper-only model family and are not ML v2 independent trials","collapse_to_one_family_no_selection_permission","False","False","False","False","False","False","False","False","False","False","False","none","False","Recommendation only; does not calculate effective count or open training gate."
"recommended_lineage_decision_002","dep_group_002","cross_sectional_ml","ml_model_v1_paper_only","not_available","not_available","manual_review_only","1","trial_ml_shadow_observation_final_packet","manual_review_required","same_dependency_family","ML v1 reports share one paper-only model family and are not ML v2 independent trials","collapse_to_one_family_no_selection_permission","False","False","False","False","False","False","False","False","False","False","False","none","False","Recommendation only; does not calculate effective count or open training gate."
"recommended_lineage_decision_003","dep_group_003","cross_sectional_ml","not_available","not_available","not_available","baseline","3","trial_ml_baseline_dataset_audit;trial_ml_baseline_training_scaffold;trial_ml_baseline_validation_report","manual_review_required","same_dependency_family","ML baseline report family is a scaffold/validation family, not separate independent ML v2 trials","collapse_to_one_family_no_selection_permission","False","False","False","False","False","False","False","False","False","False","False","none","False","Recommendation only; does not calculate effective count or open training gate."
"recommended_lineage_decision_004","dep_group_004","formulaic_ohlcv","not_available","237ac7d0c28d86c6","not_available","manual_review_only","1","trial_formulaic_alpha_sample_006","manual_review_required","not_selection_trial","formula sample has hash but was not evaluated, ranked, or linked to model training","exclude_from_effective_trial_count","False","False","False","False","False","False","False","False","False","False","False","none","False","Recommendation only; does not calculate effective count or open training gate."
"recommended_lineage_decision_005","dep_group_005","formulaic_ohlcv","not_available","5b15756d0fbddc1e","not_available","manual_review_only","1","trial_formulaic_alpha_sample_004","manual_review_required","not_selection_trial","formula sample has hash but was not evaluated, ranked, or linked to model training","exclude_from_effective_trial_count","False","False","False","False","False","False","False","False","False","False","False","none","False","Recommendation only; does not calculate effective count or open training gate."
"recommended_lineage_decision_006","dep_group_006","formulaic_ohlcv","not_available","b169813beaaf19fc","not_available","manual_review_only","1","trial_formulaic_alpha_sample_005","manual_review_required","not_selection_trial","formula sample has hash but was not evaluated, ranked, or linked to model training","exclude_from_effective_trial_count","False","False","False","False","False","False","False","False","False","False","False","none","False","Recommendation only; does not calculate effective count or open training gate."
"recommended_lineage_decision_007","dep_group_007","formulaic_ohlcv","not_available","e2bd30a293a37ee7","not_available","manual_review_only","1","trial_formulaic_alpha_sample_002","manual_review_required","not_selection_trial","formula sample has hash but was not evaluated, ranked, or linked to model training","exclude_from_effective_trial_count","False","False","False","False","False","False","False","False","False","False","False","none","False","Recommendation only; does not calculate effective count or open training gate."
"recommended_lineage_decision_008","dep_group_008","formulaic_ohlcv","not_available","ead367ea93980a3e","not_available","manual_review_only","1","trial_formulaic_alpha_sample_003","manual_review_required","not_selection_trial","formula sample has hash but was not evaluated, ranked, or linked to model training","exclude_from_effective_trial_count","False","False","False","False","False","False","False","False","False","False","False","none","False","Recommendation only; does not calculate effective count or open training gate."
"recommended_lineage_decision_009","dep_group_009","formulaic_ohlcv","not_available","fc64e48de1dacd70","not_available","manual_review_only","1","trial_formulaic_alpha_sample_001","manual_review_required","not_selection_trial","formula sample has hash but was not evaluated, ranked, or linked to model training","exclude_from_effective_trial_count","False","False","False","False","False","False","False","False","False","False","False","none","False","Recommendation only; does not calculate effective count or open training gate."
"recommended_lineage_decision_010","dep_group_010","formulaic_ohlcv","not_available","not_available","not_available","manual_review_only","2","trial_formulaic_alpha_schema_plan;trial_formulaic_alpha_bootstrap_status","unresolved","not_selection_trial","formula schema/bootstrap report-only artifacts, not evaluated formulas","exclude_from_effective_trial_count","False","False","False","False","False","False","False","False","False","False","False","none","False","Recommendation only; does not calculate effective count or open training gate."
"recommended_lineage_decision_011","dep_group_011","macro_event_overlay","not_available","not_available","not_available","manual_review_only","1","trial_external_source_inventory_v2","resolved_non_selection_overlay","not_selection_trial","overlay/report-only risk input; not direct model-selection trial","exclude_from_effective_trial_count","False","False","False","False","False","False","False","False","False","False","False","none","False","Recommendation only; does not calculate effective count or open training gate."
"recommended_lineage_decision_012","dep_group_012","other","252safe_recovery_rank_timing_v0","not_available","not_available","paper_diagnostic;stress","1","trial_252safe_recovery_rank_timing_v0","manual_review_required","same_dependency_family","monthly candidate/diagnostic variants belong to the same local strategy-search lineage and should not be independent ML v2 trials","collapse_to_monthly_candidate_search_family","False","False","False","False","False","False","False","False","False","False","False","none","False","Recommendation only; does not calculate effective count or open training gate."
"recommended_lineage_decision_013","dep_group_013","other","cost_turnover_aware_guard","not_available","not_available","paper_diagnostic;baseline","1","trial_cost_turnover_aware_guard","manual_review_required","same_dependency_family","monthly candidate/diagnostic variants belong to the same local strategy-search lineage and should not be independent ML v2 trials","collapse_to_monthly_candidate_search_family","False","False","False","False","False","False","False","False","False","False","False","none","False","Recommendation only; does not calculate effective count or open training gate."
"recommended_lineage_decision_014","dep_group_014","other","monthly_rebalance_current","not_available","not_available","baseline","1","trial_monthly_baseline_current","manual_review_required","same_dependency_family","monthly baseline and validation reports represent one existing baseline family","collapse_to_monthly_baseline_family","False","False","False","False","False","False","False","False","False","False","False","none","False","Recommendation only; does not calculate effective count or open training gate."
"recommended_lineage_decision_015","dep_group_015","other","monthly_validation_baseline_family","not_available","not_available","baseline;stress","1","trial_monthly_baseline_validation_family","manual_review_required","same_dependency_family","monthly baseline and validation reports represent one existing baseline family","collapse_to_monthly_baseline_family","False","False","False","False","False","False","False","False","False","False","False","none","False","Recommendation only; does not calculate effective count or open training gate."
"recommended_lineage_decision_016","dep_group_016","other","no_min_history_relaxation_neutral_loss_guard","not_available","not_available","paper_diagnostic;baseline","1","trial_no_min_history_relaxation_neutral_loss_guard","manual_review_required","same_dependency_family","monthly candidate/diagnostic variants belong to the same local strategy-search lineage and should not be independent ML v2 trials","collapse_to_monthly_candidate_search_family","False","False","False","False","False","False","False","False","False","False","False","none","False","Recommendation only; does not calculate effective count or open training gate."
"recommended_lineage_decision_017","dep_group_017","other","not_available","not_available","not_available","baseline;stress","1","trial_monthly_comparison_family","manual_review_required","not_selection_trial","comparison report family is prior evidence; do not rerun or count as new trial","exclude_from_effective_trial_count","False","False","False","False","False","False","False","False","False","False","False","none","False","Recommendation only; does not calculate effective count or open training gate."
"recommended_lineage_decision_018","dep_group_018","other","not_available","not_available","not_available","cost_sensitivity","1","trial_fee_tax_slippage_expectancy","unresolved","not_selection_trial","cost/expectancy report is risk evidence, not model-selection trial","exclude_from_effective_trial_count","False","False","False","False","False","False","False","False","False","False","False","none","False","Recommendation only; does not calculate effective count or open training gate."
"recommended_lineage_decision_019","dep_group_019","other","not_available","not_available","not_available","manual_review_only","3","trial_month_symbol_concentration;trial_us_quant_math_inventory;trial_candidate_trial_ledger_schema_plan","unresolved","not_selection_trial","inventory/schema/concentration reports are report-only controls","exclude_from_effective_trial_count","False","False","False","False","False","False","False","False","False","False","False","none","False","Recommendation only; does not calculate effective count or open training gate."
"recommended_lineage_decision_020","dep_group_020","other","not_available","not_available","not_available","paper_review;paper_diagnostic","1","trial_monthly_candidate_trial_summary","manual_review_required","not_selection_trial","trial summary is count/report evidence, not a separate trial","exclude_from_effective_trial_count","False","False","False","False","False","False","False","False","False","False","False","none","False","Recommendation only; does not calculate effective count or open training gate."
"recommended_lineage_decision_021","dep_group_021","other","proxy_guard_exit_short_minus5_neutral_loss_guard55_min_history244","not_available","not_available","paper_review","1","trial_protected_candidate_blocked_order_reports","manual_review_required","same_dependency_family","monthly candidate/diagnostic variants belong to the same local strategy-search lineage and should not be independent ML v2 trials","collapse_to_monthly_candidate_search_family","False","False","False","False","False","False","False","False","False","False","False","none","False","Recommendation only; does not calculate effective count or open training gate."
"recommended_lineage_decision_022","dep_group_022","other","proxy_guard_exit_short_minus5_neutral_loss_guard55_min_history244","not_available","not_available","paper_review;baseline","1","trial_protected_paper_review_min_history244","manual_review_required","same_dependency_family","monthly candidate/diagnostic variants belong to the same local strategy-search lineage and should not be independent ML v2 trials","collapse_to_monthly_candidate_search_family","False","False","False","False","False","False","False","False","False","False","False","none","False","Recommendation only; does not calculate effective count or open training gate."
"recommended_lineage_decision_023","dep_group_023","other","sideways_recovery_preserving_guard","not_available","not_available","paper_diagnostic;baseline","1","trial_sideways_recovery_preserving_guard","manual_review_required","same_dependency_family","monthly candidate/diagnostic variants belong to the same local strategy-search lineage and should not be independent ML v2 trials","collapse_to_monthly_candidate_search_family","False","False","False","False","False","False","False","False","False","False","False","none","False","Recommendation only; does not calculate effective count or open training gate."
"recommended_lineage_decision_summary","ALL","ALL","ALL","ALL","ALL","ALL","29","multiple","mixed","BLOCK_NO_SELECTION_TRIALS_ALLOWED","Conservative recommendations exclude report-only/sample-only/overlay controls and collapse known families; no independent selection trial is authorized.","no_effective_count_calculation","False","False","False","False","False","False","False","False","False","False","False","none","False","not_selection_trial=12; same_dependency_family=11"
