"audit_id","dependency_group_id","method_family","candidate_id","formula_hash","model_hash","scenario_set","member_trial_count","member_trial_ids","lineage_status_before","lineage_resolution_status","missing_lineage_fields","exact_raw_count_status","raw_trial_lower_bound","effective_trial_count_allowed_now","deflated_sharpe_allowed_now","training_allowed_now","validation_allowed_now","performance_metric_computed","formula_evaluation_performed","candidate_creation","candidate_promotion","broker_submission","order_execution","production_effect","trading_allowed","recommended_next_action","notes"
"lineage_resolution_001","dep_group_001","cross_sectional_ml","ml_model_v1_paper_only","not_available","not_available","baseline","2","trial_ml_v1_training_validation_family;trial_ml_vs_original_comparison","WARN_LINEAGE_INCOMPLETE","unresolved","formula_hash;model_hash","NOT_AVAILABLE","not_available","False","False","False","False","False","False","False","False","False","False","none","False","source_report_lineage_or_exact_count_inventory_needed","Lineage or exact raw-count evidence remains insufficient."
"lineage_resolution_002","dep_group_002","cross_sectional_ml","ml_model_v1_paper_only","not_available","not_available","manual_review_only","1","trial_ml_shadow_observation_final_packet","WARN_LINEAGE_INCOMPLETE","unresolved","formula_hash;model_hash","NOT_AVAILABLE","not_available","False","False","False","False","False","False","False","False","False","False","none","False","source_report_lineage_or_exact_count_inventory_needed","Lineage or exact raw-count evidence remains insufficient."
"lineage_resolution_003","dep_group_003","cross_sectional_ml","not_available","not_available","not_available","baseline","3","trial_ml_baseline_dataset_audit;trial_ml_baseline_training_scaffold;trial_ml_baseline_validation_report","WARN_LINEAGE_INCOMPLETE","unresolved","candidate_id;formula_hash;model_hash","NOT_AVAILABLE","not_available","False","False","False","False","False","False","False","False","False","False","none","False","source_report_lineage_or_exact_count_inventory_needed","Lineage or exact raw-count evidence remains insufficient."
"lineage_resolution_004","dep_group_004","formulaic_ohlcv","not_available","237ac7d0c28d86c6","not_available","manual_review_only","1","trial_formulaic_alpha_sample_006","WARN_LINEAGE_INCOMPLETE","unresolved","candidate_id;model_hash","EXACT_FROM_LEDGER_SOURCE","6","False","False","False","False","False","False","False","False","False","False","none","False","source_report_lineage_or_exact_count_inventory_needed","Lineage or exact raw-count evidence remains insufficient."
"lineage_resolution_005","dep_group_005","formulaic_ohlcv","not_available","5b15756d0fbddc1e","not_available","manual_review_only","1","trial_formulaic_alpha_sample_004","WARN_LINEAGE_INCOMPLETE","unresolved","candidate_id;model_hash","EXACT_FROM_LEDGER_SOURCE","6","False","False","False","False","False","False","False","False","False","False","none","False","source_report_lineage_or_exact_count_inventory_needed","Lineage or exact raw-count evidence remains insufficient."
"lineage_resolution_006","dep_group_006","formulaic_ohlcv","not_available","b169813beaaf19fc","not_available","manual_review_only","1","trial_formulaic_alpha_sample_005","WARN_LINEAGE_INCOMPLETE","unresolved","candidate_id;model_hash","EXACT_FROM_LEDGER_SOURCE","6","False","False","False","False","False","False","False","False","False","False","none","False","source_report_lineage_or_exact_count_inventory_needed","Lineage or exact raw-count evidence remains insufficient."
"lineage_resolution_007","dep_group_007","formulaic_ohlcv","not_available","e2bd30a293a37ee7","not_available","manual_review_only","1","trial_formulaic_alpha_sample_002","WARN_LINEAGE_INCOMPLETE","unresolved","candidate_id;model_hash","EXACT_FROM_LEDGER_SOURCE","6","False","False","False","False","False","False","False","False","False","False","none","False","source_report_lineage_or_exact_count_inventory_needed","Lineage or exact raw-count evidence remains insufficient."
"lineage_resolution_008","dep_group_008","formulaic_ohlcv","not_available","ead367ea93980a3e","not_available","manual_review_only","1","trial_formulaic_alpha_sample_003","WARN_LINEAGE_INCOMPLETE","unresolved","candidate_id;model_hash","EXACT_FROM_LEDGER_SOURCE","6","False","False","False","False","False","False","False","False","False","False","none","False","source_report_lineage_or_exact_count_inventory_needed","Lineage or exact raw-count evidence remains insufficient."
"lineage_resolution_009","dep_group_009","formulaic_ohlcv","not_available","fc64e48de1dacd70","not_available","manual_review_only","1","trial_formulaic_alpha_sample_001","WARN_LINEAGE_INCOMPLETE","unresolved","candidate_id;model_hash","EXACT_FROM_LEDGER_SOURCE","6","False","False","False","False","False","False","False","False","False","False","none","False","source_report_lineage_or_exact_count_inventory_needed","Lineage or exact raw-count evidence remains insufficient."
"lineage_resolution_010","dep_group_010","formulaic_ohlcv","not_available","not_available","not_available","manual_review_only","2","trial_formulaic_alpha_schema_plan;trial_formulaic_alpha_bootstrap_status","WARN_LINEAGE_INCOMPLETE","unresolved","candidate_id;formula_hash;model_hash","NOT_AVAILABLE","not_available","False","False","False","False","False","False","False","False","False","False","none","False","source_report_lineage_or_exact_count_inventory_needed","Lineage or exact raw-count evidence remains insufficient."
"lineage_resolution_011","dep_group_011","macro_event_overlay","not_available","not_available","not_available","manual_review_only","1","trial_external_source_inventory_v2","WARN_LINEAGE_INCOMPLETE","unresolved","candidate_id;formula_hash;model_hash","NOT_AVAILABLE","not_available","False","False","False","False","False","False","False","False","False","False","none","False","source_report_lineage_or_exact_count_inventory_needed","Lineage or exact raw-count evidence remains insufficient."
"lineage_resolution_012","dep_group_012","other","252safe_recovery_rank_timing_v0","not_available","not_available","paper_diagnostic;stress","1","trial_252safe_recovery_rank_timing_v0","WARN_LINEAGE_INCOMPLETE","unresolved","formula_hash;model_hash","NOT_AVAILABLE","not_available","False","False","False","False","False","False","False","False","False","False","none","False","source_report_lineage_or_exact_count_inventory_needed","Lineage or exact raw-count evidence remains insufficient."
"lineage_resolution_013","dep_group_013","other","cost_turnover_aware_guard","not_available","not_available","paper_diagnostic;baseline","1","trial_cost_turnover_aware_guard","WARN_LINEAGE_INCOMPLETE","unresolved","formula_hash;model_hash","NOT_AVAILABLE","not_available","False","False","False","False","False","False","False","False","False","False","none","False","source_report_lineage_or_exact_count_inventory_needed","Lineage or exact raw-count evidence remains insufficient."
"lineage_resolution_014","dep_group_014","other","monthly_rebalance_current","not_available","not_available","baseline","1","trial_monthly_baseline_current","WARN_LINEAGE_INCOMPLETE","unresolved","formula_hash;model_hash","NOT_AVAILABLE","not_available","False","False","False","False","False","False","False","False","False","False","none","False","source_report_lineage_or_exact_count_inventory_needed","Lineage or exact raw-count evidence remains insufficient."
"lineage_resolution_015","dep_group_015","other","monthly_validation_baseline_family","not_available","not_available","baseline;stress","1","trial_monthly_baseline_validation_family","WARN_LINEAGE_INCOMPLETE","unresolved","formula_hash;model_hash","NOT_AVAILABLE","not_available","False","False","False","False","False","False","False","False","False","False","none","False","source_report_lineage_or_exact_count_inventory_needed","Lineage or exact raw-count evidence remains insufficient."
"lineage_resolution_016","dep_group_016","other","no_min_history_relaxation_neutral_loss_guard","not_available","not_available","paper_diagnostic;baseline","1","trial_no_min_history_relaxation_neutral_loss_guard","WARN_LINEAGE_INCOMPLETE","unresolved","formula_hash;model_hash","NOT_AVAILABLE","not_available","False","False","False","False","False","False","False","False","False","False","none","False","source_report_lineage_or_exact_count_inventory_needed","Lineage or exact raw-count evidence remains insufficient."
"lineage_resolution_017","dep_group_017","other","not_available","not_available","not_available","baseline;stress","1","trial_monthly_comparison_family","WARN_LINEAGE_INCOMPLETE","unresolved","candidate_id;formula_hash;model_hash","NOT_AVAILABLE","not_available","False","False","False","False","False","False","False","False","False","False","none","False","source_report_lineage_or_exact_count_inventory_needed","Lineage or exact raw-count evidence remains insufficient."
"lineage_resolution_018","dep_group_018","other","not_available","not_available","not_available","cost_sensitivity","1","trial_fee_tax_slippage_expectancy","WARN_LINEAGE_INCOMPLETE","unresolved","candidate_id;formula_hash;model_hash","NOT_AVAILABLE","not_available","False","False","False","False","False","False","False","False","False","False","none","False","source_report_lineage_or_exact_count_inventory_needed","Lineage or exact raw-count evidence remains insufficient."
"lineage_resolution_019","dep_group_019","other","not_available","not_available","not_available","manual_review_only","3","trial_month_symbol_concentration;trial_us_quant_math_inventory;trial_candidate_trial_ledger_schema_plan","WARN_LINEAGE_INCOMPLETE","unresolved","candidate_id;formula_hash;model_hash","NOT_AVAILABLE","not_available","False","False","False","False","False","False","False","False","False","False","none","False","source_report_lineage_or_exact_count_inventory_needed","Lineage or exact raw-count evidence remains insufficient."
"lineage_resolution_020","dep_group_020","other","not_available","not_available","not_available","paper_review;paper_diagnostic","1","trial_monthly_candidate_trial_summary","WARN_LINEAGE_INCOMPLETE","unresolved","candidate_id;formula_hash;model_hash","EXACT_FROM_LEDGER_SOURCE","5","False","False","False","False","False","False","False","False","False","False","none","False","source_report_lineage_or_exact_count_inventory_needed","Lineage or exact raw-count evidence remains insufficient."
"lineage_resolution_021","dep_group_021","other","proxy_guard_exit_short_minus5_neutral_loss_guard55_min_history244","not_available","not_available","paper_review","1","trial_protected_candidate_blocked_order_reports","WARN_LINEAGE_INCOMPLETE","unresolved","formula_hash;model_hash","NOT_AVAILABLE","not_available","False","False","False","False","False","False","False","False","False","False","none","False","source_report_lineage_or_exact_count_inventory_needed","Lineage or exact raw-count evidence remains insufficient."
"lineage_resolution_022","dep_group_022","other","proxy_guard_exit_short_minus5_neutral_loss_guard55_min_history244","not_available","not_available","paper_review;baseline","1","trial_protected_paper_review_min_history244","WARN_LINEAGE_INCOMPLETE","unresolved","formula_hash;model_hash","NOT_AVAILABLE","not_available","False","False","False","False","False","False","False","False","False","False","none","False","source_report_lineage_or_exact_count_inventory_needed","Lineage or exact raw-count evidence remains insufficient."
"lineage_resolution_023","dep_group_023","other","sideways_recovery_preserving_guard","not_available","not_available","paper_diagnostic;baseline","1","trial_sideways_recovery_preserving_guard","WARN_LINEAGE_INCOMPLETE","unresolved","formula_hash;model_hash","NOT_AVAILABLE","not_available","False","False","False","False","False","False","False","False","False","False","none","False","source_report_lineage_or_exact_count_inventory_needed","Lineage or exact raw-count evidence remains insufficient."
"lineage_resolution_summary","ALL","ALL","ALL","ALL","ALL","ALL","29","multiple","WARN_LINEAGE_INCOMPLETE","BLOCK_UNRESOLVED_LINEAGE","mixed","mixed","41","False","False","False","False","False","False","False","False","False","False","none","False","effective_trial_count_block_report_or_manual_lineage_review","resolved=0; manual_review_required=0; unresolved=23"
