check,status,expected,observed,reason,source,guard_status,review_eligibility,trading_allowed,production_effect
summary,PASS,guard_status=PASS;review_eligibility=REVIEW_NOT_ALLOWED;trading_allowed=False;production_effect=none,guard_status=PASS;review_eligibility=REVIEW_NOT_ALLOWED;trading_allowed=False;production_effect=none,Overall protected candidate OOS review eligibility guard.,derived,PASS,REVIEW_NOT_ALLOWED,False,none
source_files_present,PASS,all source files readable,all source files readable,Fail closed when any source is missing or unreadable.,multiple,PASS,REVIEW_NOT_ALLOWED,False,none
observation_required_fields,PASS,observation eligibility columns present,present,Observation status must expose review gating fields.,data/reports/post_cutoff_oos_observation_status_neutral_loss_guard55_min_history244.csv,PASS,REVIEW_NOT_ALLOWED,False,none
ledger_required_fields,PASS,candidate ledger columns present,present,Ledger must expose protected candidate status and tuning lock.,data/reports/monthly_candidate_research_ledger.csv,PASS,REVIEW_NOT_ALLOWED,False,none
trial_summary_required_fields,PASS,trial summary columns present,present,Trial summary must expose promotion counts and status fields.,data/reports/monthly_candidate_research_trial_summary.csv,PASS,REVIEW_NOT_ALLOWED,False,none
production_block_required_fields,PASS,production block columns present,present,Production block report must expose block status.,data/reports/production_block_classification.csv,PASS,REVIEW_NOT_ALLOWED,False,none
monthly_consistency_required_fields,PASS,monthly consistency audit columns present,present,Consistency audit must expose PASS/BLOCK status fields.,data/reports/monthly_paper_operation_consistency_audit.csv,PASS,REVIEW_NOT_ALLOWED,False,none
protected_candidate_paper_review,PASS,protected candidate status PAPER_REVIEW,ledger=PAPER_REVIEW; trial=PAPER_REVIEW,Protected candidate must remain PAPER_REVIEW.,data/reports/monthly_candidate_research_ledger.csv,PASS,REVIEW_NOT_ALLOWED,False,none
protected_from_tuning,PASS,protected_from_tuning=True,protected_from_tuning=True,Protected candidate must remain locked from tuning.,data/reports/monthly_candidate_research_ledger.csv,PASS,REVIEW_NOT_ALLOWED,False,none
oos_review_not_allowed,PASS,review_allowed=False,review_allowed=False,OOS review eligibility must remain closed.,data/reports/post_cutoff_oos_observation_status_neutral_loss_guard55_min_history244.csv,PASS,REVIEW_NOT_ALLOWED,False,none
observed_days_below_required,PASS,observed trading days < required trading days,observed=0; required=15,Review remains unavailable until enough paper OOS days accrue.,data/reports/post_cutoff_oos_observation_status_neutral_loss_guard55_min_history244.csv,PASS,REVIEW_NOT_ALLOWED,False,none
remaining_days_positive,PASS,remaining trading days > 0,remaining=15,Positive remaining days keep review eligibility closed.,data/reports/post_cutoff_oos_observation_status_neutral_loss_guard55_min_history244.csv,PASS,REVIEW_NOT_ALLOWED,False,none
no_promoted_candidates,PASS,promoted_count=0,promoted_count=0,"No candidate may be promoted, adopted, or approved.",data/reports/monthly_candidate_research_trial_summary.csv,PASS,REVIEW_NOT_ALLOWED,False,none
no_promotion_markers,PASS,no promoted/adopted/approved markers,none,Promotion-like markers are fail-closed.,data/reports/monthly_candidate_research_trial_summary.csv,PASS,REVIEW_NOT_ALLOWED,False,none
production_blocks_retained,PASS,production/readiness/risk BLOCK retained,block_rows=12,Production readiness and risk BLOCK must remain hard stops.,data/reports/production_block_classification.csv,PASS,REVIEW_NOT_ALLOWED,False,none
monthly_consistency_pass_not_authorization,PASS,monthly consistency audit PASS but not authorization,rows=20; non_pass=0,PASS consistency only confirms review-only consistency.,data/reports/monthly_paper_operation_consistency_audit.csv,PASS,REVIEW_NOT_ALLOWED,False,none
trading_allowed_false,PASS,trading_allowed=False,rows=11; true_present=False,Guard must never authorize trading.,data/reports/monthly_paper_operation_consistency_audit.csv,PASS,REVIEW_NOT_ALLOWED,False,none
production_effect_none,PASS,production_effect=none,production_effect=none,Guard must have no production effect.,data/reports/monthly_paper_operation_consistency_audit.csv,PASS,REVIEW_NOT_ALLOWED,False,none
