date,open,high,low,close,volume
2026-02-02,20000,20200,19700,19800,240000
2026-02-03,19800,19950,19400,19500,260000
2026-02-04,19500,19600,19000,19150,310000
2026-02-05,19150,19300,18700,18800,330000
2026-02-06,18800,19050,18400,18500,360000
2026-02-07,18500,18600,17900,18100,410000
2026-02-08,18100,18300,17600,17800,450000
2026-02-09,17800,18000,17200,17400,500000
2026-02-10,17400,17650,16900,17100,470000
2026-02-11,17100,17300,16500,16800,520000
2026-02-12,16800,17000,16200,16450,560000
2026-02-13,16450,16650,15900,16100,590000
2026-02-14,16100,16300,15600,15800,610000
2026-02-15,15800,16000,15300,15500,640000
2026-02-16,15500,15700,15000,15200,680000
