"trial_id","trial_category","method_family","formula_hash","model_hash","candidate_id","parameter_summary","source_command_if_available","source_report","scenario_set","attempted_date","decision","rejection_reason","entered_comparison","protected_candidate_related","paper_review_related","ml_related","production_effect","trading_allowed","raw_trial_count","effective_trial_count","notes"
"trial_monthly_baseline_current","manual_research","other","not_available","not_available","monthly_rebalance_current","existing monthly baseline reports; parameters not changed","not_available","data/reports/monthly_order_plan_summary.md;data/reports/monthly_deployment_gate.csv;data/reports/monthly_performance_audit.csv;data/reports/ml_vs_original_model_comparison.csv","baseline","not_available","rejected_or_blocked","source reports show BLOCK/0 actionable orders for current monthly baseline","True","False","True","False","none","False","not_available","not_available","Baseline-related row only; no rerun, no promotion, no demotion."
"trial_monthly_baseline_validation_family","manual_research","other","not_available","not_available","monthly_validation_baseline_family","existing monthly validation, attribution, failure, remediation, and scenario reports","not_available","data/reports/monthly_validation_comparison.csv;data/reports/monthly_validation_failures.csv;data/reports/monthly_validation_remediation.csv;data/reports/monthly_validation_scenarios.csv","baseline;stress","not_available","report_only","not_available","True","False","True","False","none","False","not_available","not_available","Monthly baseline report-family ledger row; performance metrics are not inferred here."
"trial_protected_paper_review_min_history244","manual_research","other","not_available","not_available","proxy_guard_exit_short_minus5_neutral_loss_guard55_min_history244","protected current candidate; neutral loss guard55 plus min_history244; do not tune","not_available","data/reports/monthly_candidate_research_ledger.csv;data/reports/monthly_candidate_research_trial_summary.csv;data/reports/protected_candidate_oos_review_eligibility_guard.csv","paper_review;baseline","not_available","paper_review_only","not_available","True","True","True","False","none","False","not_available","not_available","Protected PAPER_REVIEW candidate remains unchanged and not promoted; OOS review eligibility remains REVIEW_NOT_ALLOWED."
"trial_protected_candidate_blocked_order_reports","manual_research","other","not_available","not_available","proxy_guard_exit_short_minus5_neutral_loss_guard55_min_history244","saved protected candidate order/risk/deployment reports; no order generation in this loop","not_available","data/reports/monthly_order_plan_neutral_loss_guard55_min_history244.md;data/reports/monthly_risk_report_neutral_loss_guard55_min_history244.csv;data/reports/monthly_deployment_gate_candidate_proxy_guard_exit_short_minus5_neutral_loss_guard55_min_history244.csv","paper_review","not_available","rejected_or_blocked","source reports support blocked execution/order rows","True","True","True","False","none","False","not_available","not_available","Protected candidate-related blocked order/report family only; no broker submission."
"trial_no_min_history_relaxation_neutral_loss_guard","manual_research","other","not_available","not_available","no_min_history_relaxation_neutral_loss_guard","protected guard stack without min_history relaxation; PIT min history remains 252","not_available","data/reports/monthly_candidate_research_ledger.csv;data/reports/monthly_validation_candidate_paper_diag_no_min_history_relaxation_neutral_loss_guard.csv;data/reports/monthly_validation_comparison_paper_diag_no_min_history_relaxation_neutral_loss_guard.csv","paper_diagnostic;baseline","not_available","rejected_or_blocked","source ledger says required failures remain and candidate does not deserve PAPER_REVIEW","True","False","True","False","none","False","not_available","not_available","Paper diagnostic row from existing local ledger; not promoted."
"trial_sideways_recovery_preserving_guard","manual_research","other","not_available","not_available","sideways_recovery_preserving_guard","neutral loss guard max exposure raised to 0.65 in historical diagnostic; no parameter change in this loop","not_available","data/reports/monthly_candidate_research_ledger.csv;data/reports/monthly_validation_candidate_paper_diag_sideways_recovery_preserving_guard.csv;data/reports/monthly_validation_comparison_paper_diag_sideways_recovery_preserving_guard.csv","paper_diagnostic;baseline","not_available","rejected_or_blocked","source ledger says required failures remain and candidate does not deserve PAPER_REVIEW","True","False","True","False","none","False","not_available","not_available","Historical diagnostic evidence only; this loop did not tune or modify parameters."
"trial_cost_turnover_aware_guard","manual_research","other","not_available","not_available","cost_turnover_aware_guard","protected guard stack with min target value 50000 in historical diagnostic; no parameter change in this loop","not_available","data/reports/monthly_candidate_research_ledger.csv;data/reports/monthly_validation_candidate_paper_diag_cost_turnover_aware_guard.csv;data/reports/monthly_validation_comparison_paper_diag_cost_turnover_aware_guard.csv","paper_diagnostic;baseline","not_available","rejected_or_blocked","source ledger says required failures remain and candidate does not deserve PAPER_REVIEW","True","False","True","False","none","False","not_available","not_available","Historical diagnostic evidence only; not promoted."
"trial_252safe_recovery_rank_timing_v0","manual_research","other","not_available","not_available","252safe_recovery_rank_timing_v0","252-day PIT history gate recovery ranking diagnostic; no formula generation in this loop","not_available","data/reports/monthly_candidate_research_ledger.csv;data/reports/monthly_candidate_research_trial_summary.csv;data/reports/paper_diag_252safe_recovery_rank_timing_v0_comparison.csv","paper_diagnostic;stress","not_available","rejected_or_blocked","source ledger and trial summary say reject_candidate with worsened required failures","True","False","True","False","none","False","not_available","not_available","Rejected candidate evidence only; not used to promote or demote protected candidate."
"trial_monthly_candidate_trial_summary","manual_research","other","not_available","not_available","not_available","existing candidate research trial summary counts only","not_available","data/reports/monthly_candidate_research_trial_summary.csv","paper_review;paper_diagnostic","not_available","report_only","not_available","False","True","True","False","none","False","5","not_available","Source explicitly reports total_candidates_tested=5, protected_paper_review_count=1, paper_diagnostic_count=3, rejected_candidate_count=1, promoted_count=0."
"trial_monthly_comparison_family","manual_research","other","not_available","not_available","not_available","existing monthly comparison reports; no comparison rerun","not_available","data/reports/monthly_validation_comparison.csv;data/reports/monthly_validation_comparison_deltas.csv;data/reports/monthly_benchmark_selection_summary_comparison_proxy_guard_exit_short_minus5_neutral_loss_guard55_current.csv","baseline;stress","not_available","report_only","not_available","True","False","True","False","none","False","not_available","not_available","Monthly comparison report-family row; this bootstrap did not rerun candidate comparison."
