check,status,expected,observed,reason,source,overall_status,trading_allowed,review_allowed,production_effect,recommended_action
summary,PASS,overall_status=OBSERVE;trading_allowed=False;review_allowed=False;production_effect=none,overall_status=OBSERVE;trading_allowed=False;review_allowed=False;production_effect=none,Overall paper-operation safety status index.,derived,OBSERVE,False,False,none,keep_observing_no_tuning_no_promotion
source_files_present,PASS,all source files readable,all source files readable,Fail closed when any source is missing or unreadable.,multiple,OBSERVE,False,False,none,keep_observing_no_tuning_no_promotion
production_required_fields,PASS,production block columns present,present,Production report must expose BLOCK status.,data/reports/production_block_classification.csv,OBSERVE,False,False,none,keep_observing_no_tuning_no_promotion
oos_guard_required_fields,PASS,OOS guard columns present,present,OOS guard must expose eligibility and safety fields.,data/reports/protected_candidate_oos_review_eligibility_guard.csv,OBSERVE,False,False,none,keep_observing_no_tuning_no_promotion
monthly_consistency_required_fields,PASS,monthly consistency columns present,present,Consistency audit must expose status fields.,data/reports/monthly_paper_operation_consistency_audit.csv,OBSERVE,False,False,none,keep_observing_no_tuning_no_promotion
order_plan_required_fields,PASS,order plan columns present,present,Order plan must expose execution and risk fields.,data/reports/monthly_order_plan_neutral_loss_guard55_min_history244.csv,OBSERVE,False,False,none,keep_observing_no_tuning_no_promotion
review_packet_required_fields,PASS,review packet columns present,present,Review packet must expose safety fields.,data/reports/monthly_paper_operation_review_packet.csv,OBSERVE,False,False,none,keep_observing_no_tuning_no_promotion
trial_summary_required_fields,PASS,trial summary columns present,present,Trial summary must expose promoted count.,data/reports/monthly_candidate_research_trial_summary.csv,OBSERVE,False,False,none,keep_observing_no_tuning_no_promotion
health_warn_required_fields,PASS,health warning columns present,present,Health warning classification must expose scope fields.,data/reports/health_warn_classification.csv,OBSERVE,False,False,none,keep_observing_no_tuning_no_promotion
production_block_retained,PASS,production remains BLOCK,block_rows=12; packet_status=BLOCK,Production/readiness/risk BLOCK must remain active.,data/reports/production_block_classification.csv,OBSERVE,False,False,none,keep_observing_no_tuning_no_promotion
protected_candidate_paper_review,PASS,protected candidate PAPER_REVIEW,PAPER_REVIEW,Protected candidate must remain paper review only.,data/reports/monthly_paper_operation_review_packet.csv,OBSERVE,False,False,none,keep_observing_no_tuning_no_promotion
oos_review_eligibility_not_allowed,PASS,review_eligibility=REVIEW_NOT_ALLOWED,guard_status=PASS; review_eligibility=REVIEW_NOT_ALLOWED,OOS review eligibility must remain closed.,data/reports/protected_candidate_oos_review_eligibility_guard.csv,OBSERVE,False,False,none,keep_observing_no_tuning_no_promotion
oos_review_allowed_false,PASS,review_allowed=False,packet=False; guard=REVIEW_NOT_ALLOWED,OOS review must not be allowed even while production is blocked.,data/reports/monthly_paper_operation_review_packet.csv,OBSERVE,False,False,none,keep_observing_no_tuning_no_promotion
observed_days_below_required,PASS,observed days < required days,observed=0; required=15,Observation window remains incomplete.,data/reports/monthly_paper_operation_review_packet.csv,OBSERVE,False,False,none,keep_observing_no_tuning_no_promotion
remaining_days_positive,PASS,remaining days > 0,remaining=15,Review remains unavailable while remaining days are positive.,data/reports/monthly_paper_operation_review_packet.csv,OBSERVE,False,False,none,keep_observing_no_tuning_no_promotion
monthly_consistency_pass_not_authorization,PASS,monthly consistency audit PASS but not authorization,rows=20; non_pass=0,"PASS confirms review-only consistency, not trading authorization.",data/reports/monthly_paper_operation_consistency_audit.csv,OBSERVE,False,False,none,keep_observing_no_tuning_no_promotion
actionable_rows_zero,PASS,actionable_rows=0,packet=0; consistency=PASS,Monthly order plan must remain non-actionable.,data/reports/monthly_paper_operation_review_packet.csv,OBSERVE,False,False,none,keep_observing_no_tuning_no_promotion
all_order_rows_blocked,PASS,all order rows blocked and execution_allowed=False,rows=5; blocked=5,No order row may be executable.,data/reports/monthly_order_plan_neutral_loss_guard55_min_history244.csv,OBSERVE,False,False,none,keep_observing_no_tuning_no_promotion
promoted_candidates_zero,PASS,promoted candidates count=0,trial=0; packet=0,No candidate may be promoted or adopted.,data/reports/monthly_candidate_research_trial_summary.csv,OBSERVE,False,False,none,keep_observing_no_tuning_no_promotion
trading_allowed_false,PASS,trading_allowed=False,guard=False; packet_true=False,Index must never authorize trading.,data/reports/protected_candidate_oos_review_eligibility_guard.csv,OBSERVE,False,False,none,keep_observing_no_tuning_no_promotion
production_effect_none,PASS,production_effect=none,guard=none; consistency=PASS,Index must have no production effect.,data/reports/protected_candidate_oos_review_eligibility_guard.csv,OBSERVE,False,False,none,keep_observing_no_tuning_no_promotion
scalper_warn_separated,PASS,scalper stale WARN separated from monthly paper review/OOS,"{'warn_name': 'scalper_data', 'current_status': 'WARN', 'affects_monthly_rebalance': 'False', 'affects_protected_candidate_oos': 'False', 'affects_scalper_only': 'True', 'criticality': 'non_critical_for_monthly_paper_review_but_blocks_future_scalper_work', 'safe_remediation_available': 'not_in_this_loop_without_collector_restart_or_new_data', 'recommended_action': 'Keep WARN for scalper workflows; restart or inspect the cloud scalper collector before any scalper work.', 'reason': 'old scalper data: latest=005930_paper_scalp.csv; age_hours=478.33; mode=warn'}",Stale scalper data should be recorded separately from monthly paper review/OOS.,data/reports/health_warn_classification.csv,OBSERVE,False,False,none,keep_observing_no_tuning_no_promotion
