diagnostic_id,diagnostic_group,diagnostic_item,source_reference,evidence,status,risk_interpretation,missing_evidence,blocked_interpretation,model_winner_declared,candidate_decision_allowed,candidate_promotion,broker_submission,order_execution,trading_allowed,production_effect,model_training_performed_now,validation_rerun_performed_now,oos_rerun_performed_now,candidate_comparison_rerun_performed_now,next_safe_action,notes
fixed_spec_risk_001,source_boundary,local_report_only_scope,"data/reports/ml_v2_fixed_spec_robustness_no_winner_analysis.csv;data/reports/ml_v2_fixed_spec_bounded_robustness_diagnostic.csv","POST-30 no-winner analysis exists; POST-29 bounded diagnostic exists; no new execution required",PASS,"Use existing local evidence only for fixed-spec risk diagnostics","none for report-only scope","Treat this diagnostic as a trade simulation, order plan, or production readiness artifact",False,False,False,False,False,False,none,False,False,False,False,design_ml_v2_hybrid_risk_overlay,"No data fetch, API call, OOS rerun, candidate comparison rerun, model training, validation rerun, or broker work occurred."
fixed_spec_risk_002,cost_realism,no_ml_v2_trade_or_weight_outputs,"data/reports/ml_v2_fixed_spec_paper_training_report.csv;data/reports/ml_v2_fixed_spec_paper_validation_report.csv","model_artifact_written=False;candidate_creation=False;broker_submission=False;order_execution=False;order_output unavailable",BLOCK_MISSING_OUTPUTS,"Cost realism cannot be computed for ML v2 fixed-spec because no trades, weights, fills, or order rows exist","ml_v2_positions;target_weights;turnover;fills;trade_count;order_cost_fields","Infer net expectancy, tradability, or deployment readiness from classification diagnostics",False,False,False,False,False,False,none,False,False,False,False,design_ml_v2_hybrid_risk_overlay,"This is a missing-evidence risk, not permission to generate orders or portfolios."
fixed_spec_risk_003,slippage,slippage_context_only,data/reports/fee_tax_slippage_adjusted_expectancy_report.csv,"Existing protected candidate order-cost context has latest_order_plan_estimated_slippage_rate=0.00050012_order_cost_rate; ML v2 has no order plan",WARN_CONTEXT_ONLY,"Existing slippage reports are useful context but are not ML v2 fixed-spec slippage estimates","ml_v2_order_size;ml_v2_price_path;ml_v2_fill_model;ml_v2_slippage_drag","Copy protected-candidate slippage values into ML v2 as if they were observed ML v2 costs",False,False,False,False,False,False,none,False,False,False,False,design_ml_v2_hybrid_risk_overlay,"Do not transfer slippage assumptions across strategies without an explicit future paper-only orderless cost model."
fixed_spec_risk_004,turnover,turnover_not_available_for_fixed_spec,"data/reports/ml_v2_fixed_spec_bounded_robustness_diagnostic.csv;data/reports/fee_tax_slippage_adjusted_expectancy_report.csv","POST-29 reports joined rows only; ML v1 row has turnover context but ML v2 fixed-spec has no rebalance path",BLOCK_MISSING_OUTPUTS,"Turnover and cost drag remain unavailable for ML v2 fixed-spec","ml_v2_monthly_selections;holding_period;rebalance_frequency;target_weights","Assume ML v1 or monthly baseline turnover applies to ML v2 fixed-spec",False,False,False,False,False,False,none,False,False,False,False,design_ml_v2_hybrid_risk_overlay,"A future design can define shadow-only cost fields, but this checkpoint does not create them."
fixed_spec_risk_005,concentration,sample_symbol_concentration,"data/reports/ml_v2_fixed_spec_bounded_robustness_diagnostic.csv","joined_rows=98;symbols=5;date_groups=23;validation_rows=20",WARN_NARROW_SAMPLE,"The diagnostic sample is narrow, so symbol coverage risk is material","ml_v2_return_contribution_by_symbol;ml_v2_position_weights;top_symbol_return_share","Treat five-symbol sample coverage as diversified portfolio evidence",False,False,False,False,False,False,none,False,False,False,False,design_ml_v2_hybrid_risk_overlay,"This is sample concentration, not realized portfolio concentration."
fixed_spec_risk_006,concentration,no_return_contribution_artifacts,data/reports/month_symbol_concentration_report.csv,"ML v1 has insufficient return-contribution detail; ML v2 fixed-spec has no compatible return-contribution artifact",BLOCK_MISSING_OUTPUTS,"ML v2 fixed-spec cannot be evaluated for month/symbol return contribution concentration yet","ml_v2_month_return_contribution;ml_v2_symbol_return_contribution;extreme_winner_exclusion","Claim concentration PASS using baseline/protected-candidate concentration reports",False,False,False,False,False,False,none,False,False,False,False,design_ml_v2_hybrid_risk_overlay,"Existing concentration reports are contextual but not direct ML v2 evidence."
fixed_spec_risk_007,failure_modes,label_balance_warnings,"data/reports/ml_v2_fixed_spec_robustness_no_winner_analysis.csv","rolling-origin rows=12;positive=4;negative=8;primary validation positive=8;warnings remain material",WARN,"Small class counts are a failure-mode warning for interpretation stability","larger fixed-spec validation sample;stable class balance across future pre-registered splits","Tune thresholds or class weights from the warning",False,False,False,False,False,False,none,False,False,False,False,design_ml_v2_hybrid_risk_overlay,"Warnings are carried forward as risk-packet evidence only."
fixed_spec_risk_008,failure_modes,overfit_warning_unresolved,data/reports/ml_v2_fixed_spec_overfit_analysis.csv,"train_accuracy=0.6486;validation_accuracy=0.5500;gap=0.0986;validation_sample_risk=HIGH_SMALL_N;overall=WARN_OVERFIT_RISK_NOT_PROVEN",WARN,"Overfit and repeated-process risk remain unresolved","larger validation evidence;future pre-registered diagnostics;independent paper-only checks","Declare ML v2 robust, superior, or production-ready",False,False,False,False,False,False,none,False,False,False,False,design_ml_v2_hybrid_risk_overlay,"POST-30 no-winner analysis did not remove this warning."
fixed_spec_risk_009,failure_modes,ml_failure_context_not_direct_ml_v2,data/reports/ml_failure_analysis_report.csv,"Existing ML failure report documents wrong_direction and negative_realized_return cases for ML v1-style diagnostics",WARN_CONTEXT_ONLY,"Historical failure categories are useful taxonomy but not direct ML v2 fixed-spec failure attribution","ml_v2_prediction_rows;ml_v2_false_positive_false_negative_detail;regime_failure_buckets","Treat ML v1 failure rows as ML v2 observed failures",False,False,False,False,False,False,none,False,False,False,False,design_ml_v2_hybrid_risk_overlay,"Failure taxonomy can inform the final packet, but direct ML v2 attribution is not available."
fixed_spec_risk_010,final_status,cost_concentration_failure_status,all_local_reports,"cost=BLOCK_MISSING_OUTPUTS;slippage=WARN_CONTEXT_ONLY;concentration=WARN_NARROW_SAMPLE/BLOCK_MISSING_OUTPUTS;failure=WARN;production_effect=none",WARN_BLOCKED_NOT_LIVE_READY,"ML v2 fixed-spec remains paper-only research with cost, concentration, and failure blockers","ml_v2_orderless_shadow_cost_model;return_contribution_artifacts;direct failure attribution","Promote, tune, create candidate, generate orders, or change production readiness",False,False,False,False,False,False,none,False,False,False,False,design_ml_v2_hybrid_risk_overlay,"Next safe checkpoint is ML v2 hybrid risk overlay design with disabled-by-default controls."
